OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90
23-1022,"Arbitrators, Mediators, and Conciliators",detailed,7060,10.0,45.85,95370,14.6,17.29,24.62,34.39,51.47,73.43,35960,51200,71540,107060,152730
23-1023,"Judges, Magistrate Judges, and Magistrates",detailed,24470,1.1,66.83,139000,0.8,22.09,40.53,71.59,87.6,101.39,45950,84300,148910,182200,210890
23-2000,Legal Support Workers,minor,448410,1.2,32.35,67290,1.2,18.77,23.02,29.18,37.53,48.78,39050,47880,60690,78060,101470
23-2010,Paralegals and Legal Assistants,broad,354890,1.6,31.95,66460,1.4,19.09,23.16,29.31,37.31,47.51,39710,48180,60970,77600,98830
23-2011,Paralegals and Legal Assistants,detailed,354890,1.6,31.95,66460,1.4,19.09,23.16,29.31,37.31,47.51,39710,48180,60970,77600,98830
23-2090,Miscellaneous Legal Support Workers,broad,93520,1.6,33.87,70440,1.1,18.02,22.12,28.55,38.76,61.26,37480,46020,59380,80620,127420
23-2093,"Title Examiners, Abstractors, and Searchers",detailed,49760,2.5,28.58,59440,1.6,17.5,21.04,25.74,33.78,43.26,36400,43760,53550,70260,89980
23-2099,"Legal Support Workers, All Other",detailed,43760,1.8,39.89,82960,1.4,19.18,24.03,32.55,51.14,74.65,39890,49980,67700,106360,155270
25-0000,Educational Instruction and Library Occupations,major,8744560,0.2,31.92,66400,0.4,14.74,19.25,28.82,38.44,51.02,30670,40050,59940,79960,106130
25-1000,Postsecondary Teachers,minor,1394110,0.2,*,101750,0.5,*,*,*,*,*,48210,62350,82270,124960,177180
25-1010,"Business Teachers, Postsecondary",broad,82980,0.5,*,113240,0.7,*,*,*,*,*,48580,64670,97130,140070,211230
25-1011,"Business Teachers, Postsecondary",detailed,82980,0.5,*,113240,0.7,*,*,*,*,*,48580,64670,97130,140070,211230
25-1020,"Math and Computer Science Teachers, Postsecondary",broad,84380,0.4,*,100060,0.5,*,*,*,*,*,49150,63540,83300,127510,171020
25-1021,"Computer Science Teachers, Postsecondary",detailed,36150,0.7,*,106380,0.6,*,*,*,*,*,49770,65660,96430,133800,175150
25-1022,"Mathematical Science Teachers, Postsecondary",detailed,48230,0.3,*,95320,0.5,*,*,*,*,*,48740,62280,81020,108840,165880
25-1030,"Engineering and Architecture Teachers, Postsecondary",broad,46710,0.4,*,119600,0.4,*,*,*,*,*,60380,81570,106860,138550,183960
25-1031,"Architecture Teachers, Postsecondary",detailed,8350,0.4,*,114900,0.5,*,*,*,*,*,60610,80010,105770,133570,174390
25-1032,"Engineering Teachers, Postsecondary",detailed,38370,0.5,*,120630,0.5,*,*,*,*,*,60250,81960,106910,139300,200030
25-1040,"Life Sciences Teachers, Postsecondary",broad,60860,0.5,*,101440,0.6,*,*,*,*,*,51330,64990,84260,126560,169410
25-1041,"Agricultural Sciences Teachers, Postsecondary",detailed,7550,2.5,*,95610,0.7,*,*,*,*,*,49240,64120,85260,110310,149660
25-1042,"Biological Science Teachers, Postsecondary",detailed,52050,0.5,*,102270,0.6,*,*,*,*,*,51670,64990,83920,126760,171410
25-1043,"Forestry and Conservation Science Teachers, Postsecondary",detailed,1260,3.1,*,102230,1.0,*,*,*,*,*,58120,81040,101650,118460,141800
25-1050,"Physical Sciences Teachers, Postsecondary",broad,53130,0.3,*,105600,0.5,*,*,*,*,*,52900,65940,94060,130190,174330
25-1051,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",detailed,11770,0.7,*,111930,0.4,*,*,*,*,*,52430,65900,100690,135790,195940
25-1052,"Chemistry Teachers, Postsecondary",detailed,20210,0.4,*,102630,0.5,*,*,*,*,*,52590,65580,85810,125370,171750
25-1053,"Environmental Science Teachers, Postsecondary",detailed,7120,2.0,*,100910,0.6,*,*,*,*,*,51280,66060,88410,126160,166150
25-1054,"Physics Teachers, Postsecondary",detailed,14030,0.5,*,106950,0.6,*,*,*,*,*,55150,66780,98020,131140,171820
25-1060,"Social Sciences Teachers, Postsecondary",broad,119750,0.4,*,100790,0.5,*,*,*,*,*,50140,64290,84600,122830,171510
25-1061,"Anthropology and Archeology Teachers, Postsecondary",detailed,5030,1.3,*,103640,0.6,*,*,*,*,*,51980,67770,93650,126060,172180
25-1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",detailed,11570,1.1,*,100390,0.5,*,*,*,*,*,51590,65390,86030,111650,169680
25-1063,"Economics Teachers, Postsecondary",detailed,12210,1.4,*,133650,0.7,*,*,*,*,*,58060,82110,115300,168240,221170
25-1064,"Geography Teachers, Postsecondary",detailed,3480,1.1,*,97660,1.6,*,*,*,*,*,50870,66610,85600,109120,155010
25-1065,"Political Science Teachers, Postsecondary",detailed,17090,0.6,*,104910,0.4,*,*,*,*,*,51610,66330,93810,127940,172910
25-1066,"Psychology Teachers, Postsecondary",detailed,40610,1.2,*,93990,0.5,*,*,*,*,*,49790,62980,82140,106610,151890
25-1067,"Sociology Teachers, Postsecondary",detailed,12870,1.6,*,97580,0.5,*,*,*,*,*,49900,64320,82670,109450,169920
25-1069,"Social Sciences Teachers, Postsecondary, All Other",detailed,16900,0.8,*,91710,0.5,*,*,*,*,*,43890,59310,77750,106540,170180
25-1070,"Health Teachers, Postsecondary",broad,298060,0.3,*,122760,0.6,*,*,*,*,*,51150,66570,100950,143730,225010
25-1071,"Health Specialties Teachers, Postsecondary",detailed,225360,0.3,*,134440,0.6,*,*,*,*,*,52300,69140,105650,172990,#
25-1072,"Nursing Instructors and Teachers, Postsecondary",detailed,72700,0.7,*,86530,0.5,*,*,*,*,*,49120,63050,80780,103370,130320
25-1080,"Education and Library Science Teachers, Postsecondary",broad,65090,0.9,*,81230,0.5,*,*,*,*,*,40100,54460,74550,98590,130150
25-1081,"Education Teachers, Postsecondary",detailed,60860,0.8,*,80750,0.5,*,*,*,*,*,39670,52740,73240,98130,130000
25-1082,"Library Science Teachers, Postsecondary",detailed,4220,1.8,*,88190,0.7,*,*,*,*,*,53660,64430,80310,101750,131310
25-1110,"Law, Criminal Justice, and Social Work Teachers, Postsecondary",broad,39700,0.7,*,104340,0.5,*,*,*,*,*,47780,61190,81770,130530,199890
25-1111,"Criminal Justice and Law Enforcement Teachers, Postsecondary",detailed,13390,1.1,*,83470,0.7,*,*,*,*,*,46320,56020,69030,102110,134580
25-1112,"Law Teachers, Postsecondary",detailed,14570,1.6,*,142440,0.7,*,*,*,*,*,51810,77860,127360,179700,#
25-1113,"Social Work Teachers, Postsecondary",detailed,11730,1.1,*,80840,1.0,*,*,*,*,*,46790,53640,75020,96670,127760
25-1120,"Arts, Communications, History, and Humanities Teachers, Postsecondary",broad,249370,0.4,*,93950,0.5,*,*,*,*,*,47990,61570,79960,106020,163400
25-1121,"Art, Drama, and Music Teachers, Postsecondary",detailed,101500,0.7,*,100840,0.6,*,*,*,*,*,47570,61970,80360,110120,178670
25-1122,"Communications Teachers, Postsecondary",detailed,28520,0.7,*,90950,0.6,*,*,*,*,*,48060,61410,79910,104810,160060
25-1123,"English Language and Literature Teachers, Postsecondary",detailed,57600,0.3,*,87090,0.4,*,*,*,*,*,48090,60050,78130,102980,137100
25-1124,"Foreign Language and Literature Teachers, Postsecondary",detailed,20820,0.7,*,88490,0.5,*,*,*,*,*,48230,61530,78760,103340,136260
25-1125,"History Teachers, Postsecondary",detailed,20610,0.9,*,93120,0.5,*,*,*,*,*,48760,63650,82140,106840,141840
25-1126,"Philosophy and Religion Teachers, Postsecondary",detailed,20320,1.1,*,89680,0.6,*,*,*,*,*,48450,61830,79930,103340,137310
25-1190,Miscellaneous Postsecondary Teachers,broad,294080,0.7,*,85400,0.4,*,*,*,*,*,40800,52000,71800,101320,146070
25-1192,"Family and Consumer Sciences Teachers, Postsecondary",detailed,2660,0.9,*,89630,0.9,*,*,*,*,*,48410,59170,78410,105280,146020
25-1193,"Recreation and Fitness Studies Teachers, Postsecondary",detailed,13270,1.3,*,87340,0.6,*,*,*,*,*,44400,58540,75770,101780,148610
25-1194,"Career/Technical Education Teachers, Postsecondary",detailed,111180,1.4,32.84,68300,0.8,18.81,23.51,29.84,38.56,50.58,39120,48890,62060,80200,105200
25-1199,"Postsecondary Teachers, All Other",detailed,166980,0.8,*,96570,0.5,*,*,*,*,*,45930,59260,79870,120620,177050
25-2000,"Preschool, Elementary, Middle, Secondary, and Special Education Teachers",minor,4261430,0.3,*,68890,0.4,*,*,*,*,*,39630,50110,63280,81010,103800
25-2010,Preschool and Kindergarten Teachers,broad,548820,0.9,22.65,47110,0.6,13.86,16.15,18.91,26.96,35.72,28830,33590,39330,56080,74310
25-2011,"Preschool Teachers, Except Special Education",detailed,430240,1.1,19.91,41410,0.7,13.56,14.81,17.85,22.36,29.28,28200,30810,37130,46500,60900
25-2012,"Kindergarten Teachers, Except Special Education",detailed,118580,1.2,*,67790,0.6,*,*,*,*,*,45650,50970,62690,78950,100390
25-2020,Elementary and Middle School Teachers,broad,2048970,0.5,*,70950,0.5,*,*,*,*,*,47130,51490,63870,81670,104420
25-2021,"Elementary School Teachers, Except Special Education",detailed,1410070,0.6,*,70740,0.5,*,*,*,*,*,46960,51260,63680,81480,104440
25-2022,"Middle School Teachers, Except Special and Career/Technical Education",detailed,626690,1.5,*,71460,0.7,*,*,*,*,*,47490,52040,64290,82120,104410
25-2023,"Career/Technical Education Teachers, Middle School",detailed,12210,3.3,*,69020,1.2,*,*,*,*,*,47360,54620,63860,78680,99080
25-2030,Secondary School Teachers,broad,1135230,0.8,*,73570,0.5,*,*,*,*,*,48140,54980,65210,83130,105860
25-2031,"Secondary School Teachers, Except Special and Career/Technical Education",detailed,1045170,0.8,*,73800,0.5,*,*,*,*,*,48040,54290,65220,83340,106380
25-2032,"Career/Technical Education Teachers, Secondary School",detailed,90070,1.6,*,70810,0.5,*,*,*,*,*,49420,57530,65130,81000,100380
25-2050,Special Education Teachers,broad,528400,0.6,*,73520,0.5,*,*,*,*,*,47520,55340,65910,83600,106290
25-2051,"Special Education Teachers, Preschool",detailed,24850,4.7,*,76420,2.6,*,*,*,*,*,41250,51240,65270,89440,135170
25-2052,"Special Education Teachers, Kindergarten and Elementary School",detailed,212850,1.1,*,71770,0.5,*,*,*,*,*,47710,54360,64910,81990,103430
25-2057,"Special Education Teachers, Middle School",detailed,88850,2.2,*,73630,0.9,*,*,*,*,*,48140,57600,66600,84040,105320
25-2058,"Special Education Teachers, Secondary School",detailed,158150,1.2,*,74670,0.6,*,*,*,*,*,47950,56820,66620,84400,107230
25-2059,"Special Education Teachers, All Other",detailed,43700,3.3,*,76000,1.5,*,*,*,*,*,43530,53780,67190,91050,114360
25-3000,Other Teachers and Instructors,minor,1034120,0.7,24.35,50650,0.6,13,15.57,20.05,28.74,39.11,27040,32390,41700,59780,81340
25-3010,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",broad,36890,1.6,31.46,65430,0.6,19.09,23.35,29.11,37.61,47.11,39710,48580,60560,78230,97980
25-3011,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",detailed,36890,1.6,31.46,65430,0.6,19.09,23.35,29.11,37.61,47.11,39710,48580,60560,78230,97980
25-3020,Self-Enrichment Teachers,broad,272110,1.1,25.43,52890,1.2,13.75,16.74,21.79,29.91,41.34,28600,34820,45330,62220,85980
25-3021,Self-Enrichment Teachers,detailed,272110,1.1,25.43,52890,1.2,13.75,16.74,21.79,29.91,41.34,28600,34820,45330,62220,85980
25-3030,"Substitute Teachers, Short-Term",broad,444530,1.2,20.95,43570,1.3,11.74,14.36,17.97,23.36,30.36,24420,29880,37380,48590,63140
25-3031,"Substitute Teachers, Short-Term",detailed,444530,1.2,20.95,43570,1.3,11.74,14.36,17.97,23.36,30.36,24420,29880,37380,48590,63140
25-3040,Tutors,broad,162300,1.6,23.36,48580,1.0,13.32,15.77,19.03,26.74,38.67,27710,32800,39580,55620,80440
25-3041,Tutors,detailed,162300,1.6,23.36,48580,1.0,13.32,15.77,19.03,26.74,38.67,27710,32800,39580,55620,80440
25-3090,Miscellaneous Teachers and Instructors,broad,118290,2.3,*,70340,0.8,*,*,*,*,*,32740,46600,64390,84380,108380
25-3099,"Teachers and Instructors, All Other",detailed,118290,2.3,*,70340,0.8,*,*,*,*,*,32740,46600,64390,84380,108380
25-4000,"Librarians, Curators, and Archivists",minor,242750,0.7,28.69,59680,0.5,14.97,19.1,26.66,35.58,45.18,31130,39730,55460,74000,93970
25-4010,"Archivists, Curators, and Museum Technicians",broad,32330,1.2,30.51,63460,1.3,16.5,21.03,27.46,36.76,48.32,34310,43730,57120,76460,100510
25-4011,Archivists,detailed,7150,2.7,31.59,65700,1.0,18.14,22.33,28.8,38.07,49.52,37720,46450,59910,79190,103000
25-4012,Curators,detailed,12510,1.6,34.07,70870,2.5,18.27,23.12,29.69,39.4,51.86,38000,48080,61750,81950,107860
25-4013,Museum Technicians and Conservators,detailed,12670,2.1,26.39,54890,1.0,14.77,18.07,23.4,31.26,40.58,30730,37580,48670,65020,84400
25-4020,Librarians and Media Collections Specialists,broad,133760,0.7,32.97,68570,0.5,18.6,24.49,30.95,38.94,49.03,38690,50930,64370,80980,101970
25-4022,Librarians and Media Collections Specialists,detailed,133760,0.7,32.97,68570,0.5,18.6,24.49,30.95,38.94,49.03,38690,50930,64370,80980,101970
25-4030,Library Technicians,broad,76670,1.5,20.46,42570,0.5,13,15.5,18.9,23.97,29.62,27040,32240,39310,49860,61620
25-4031,Library Technicians,detailed,76670,1.5,20.46,42570,0.5,13,15.5,18.9,23.97,29.62,27040,32240,39310,49860,61620
25-9000,Other Educational Instruction and Library Occupations,minor,1812160,0.4,*,43220,0.4,*,*,*,*,*,24960,30320,37330,48550,67370
25-9020,Farm and Home Management Educators,broad,8110,4.4,29.53,61430,2.4,17.65,22.16,28.73,36.21,40.76,36710,46080,59770,75310,84770
25-9021,Farm and Home Management Educators,detailed,8110,4.4,29.53,61430,2.4,17.65,22.16,28.73,36.21,40.76,36710,46080,59770,75310,84770
25-9030,Instructional Coordinators,broad,207270,0.9,37.12,77200,0.7,22.37,28.46,35.87,44.34,52.65,46540,59190,74620,92230,109500
25-9031,Instructional Coordinators,detailed,207270,0.9,37.12,77200,0.7,22.37,28.46,35.87,44.34,52.65,46540,59190,74620,92230,109500
25-9040,Teaching Assistants,broad,1483280,0.5,*,37470,0.4,*,*,*,*,*,24380,29690,35930,43830,50550
25-9044,"Teaching Assistants, Postsecondary",detailed,145960,0.4,*,47030,0.5,*,*,*,*,*,29540,33000,43750,60450,73450
25-9045,"Teaching Assistants, Except Postsecondary",detailed,1337320,0.6,*,36430,0.4,*,*,*,*,*,24200,29500,35550,40720,48870
25-9090,Miscellaneous Educational Instruction and Library Workers,broad,113490,1.5,26.4,54910,0.6,12.06,16.17,23.94,31.86,41.66,25090,33640,49800,66270,86660
25-9099,"Educational Instruction and Library Workers, All Other",detailed,113490,1.5,26.4,54910,0.6,12.06,16.17,23.94,31.86,41.66,25090,33640,49800,66270,86660
27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",major,2106490,0.6,36.31,75520,0.8,15,18.86,28.33,40.77,61.48,31200,39220,58920,84790,127880
27-1000,Art and Design Workers,minor,675630,0.6,31.34,65190,1.0,14.83,17.81,24.84,37.72,54.84,30840,37050,51660,78450,114080
27-1010,Artists and Related Workers,broad,105300,2.4,51.82,107780,1.2,20.38,30.35,46.22,64.55,84.72,42390,63120,96130,134270,176220
27-1011,Art Directors,detailed,51200,2.0,60.54,125920,1.4,29.06,37.97,51.2,74.84,100.87,60440,78970,106500,155680,209800
27-1012,Craft Artists,detailed,5830,7.1,20.97,43610,3.4,10.1,14,17.59,23.56,32.68,21010,29120,36600,49010,67980
27-1013,"Fine Artists, Including Painters, Sculptors, and Illustrators",detailed,10910,8.2,34.34,71420,7.1,13.65,18.34,28.51,42.64,65.1,28390,38160,59300,88690,135420
27-1014,Special Effects Artists and Animators,detailed,29940,5.8,52.71,109630,1.7,27.45,34.41,47.63,64.13,81.53,57090,71570,99060,133400,169580
27-1019,"Artists and Related Workers, All Other",detailed,7420,5.8,37.93,78890,2.6,15.05,20.11,35.94,52.21,61.67,31310,41830,74750,108590,128270
27-1020,Designers,broad,570330,0.6,27.56,57320,0.9,14.66,17.33,22.92,33.65,46.33,30490,36050,47670,70000,96370
27-1021,Commercial and Industrial Designers,detailed,30810,3.6,39.36,81870,1.2,22.37,28.45,36.66,47.74,60.58,46530,59170,76250,99290,126010
27-1022,Fashion Designers,detailed,19940,5.1,46.65,97030,10.4,17.83,28.1,38.12,51.57,77.33,37090,58440,79290,107260,160850
27-1023,Floral Designers,detailed,43350,1.8,17.07,35500,0.7,12,14,16.68,18.72,22.43,24960,29120,34690,38940,46650
27-1024,Graphic Designers,detailed,212720,0.7,31.11,64700,0.9,17.51,21.9,28.32,37.3,48.29,36420,45560,58910,77570,100450
27-1025,Interior Designers,detailed,67760,2.2,32.95,68530,0.9,18.14,23.07,30.05,38.26,48.97,37730,47990,62510,79580,101860
27-1026,Merchandise Displayers and Window Trimmers,detailed,175790,1.7,18.77,39040,0.7,14.08,15.12,17.42,20.33,24.63,29280,31440,36230,42280,51230
27-1027,Set and Exhibit Designers,detailed,10090,4.0,32.29,67170,2.6,15.5,20.67,28.6,39.72,54.68,32240,42980,59490,82620,113740
27-1029,"Designers, All Other",detailed,9880,4.6,36.52,75960,2.0,17.38,22.33,32.45,44.11,60.45,36160,46450,67500,91740,125730
27-2000,"Entertainers and Performers, Sports and Related Workers",minor,569670,1.5,41.02,85310,1.6,13.87,17.45,25.65,43.43,72.97,28860,36290,53360,90340,151770
27-2010,"Actors, Producers, and Directors",broad,217020,3.7,48.49,100860,2.9,16.1,21.68,36.54,59.13,84.72,33490,45100,76000,122990,176210
27-2011,Actors,detailed,62560,11.2,41.01,*,6.4,13,15.98,20.5,36.54,100.01,*,*,*,*,*
27-2012,Producers and Directors,detailed,154470,1.3,51.52,107170,3.9,20.21,28.15,39.67,61.56,83.91,42040,58540,82510,128040,174540
27-2020,"Athletes, Coaches, Umpires, and Related Workers",broad,268750,1.4,*,72950,3.0,*,*,*,*,*,26630,32240,45860,62850,99930
27-2021,Athletes and Sports Competitors,detailed,14930,6.4,*,328830,10.5,*,*,*,*,*,27730,38040,70280,201140,#
27-2022,Coaches and Scouts,detailed,238980,1.5,*,58700,0.9,*,*,*,*,*,27040,32440,45910,62070,95620
27-2023,"Umpires, Referees, and Other Sports Officials",detailed,14840,4.1,*,44860,4.1,*,*,*,*,*,22950,29140,35820,47690,63410
27-2030,Dancers and Choreographers,broad,15700,8.8,29.25,60840,3.7,14.16,16.96,24.95,36.55,47.52,29460,35280,51900,76020,98840
27-2031,Dancers,detailed,11510,13.3,29.56,*,4.9,14.15,16.7,24.95,36.52,48.14,*,*,*,*,*
27-2032,Choreographers,detailed,4190,13.2,28.41,59090,3.3,14.44,18,25,37.18,43.82,30040,37440,52000,77330,91140
27-2040,"Musicians, Singers, and Related Workers",broad,46280,2.6,49.46,*,2.2,16.08,23.38,37.48,58.74,100.51,*,*,*,*,*
27-2041,Music Directors and Composers,detailed,10770,12.5,42.23,87840,8.2,16.46,22.55,30.09,48.89,83.56,34240,46910,62590,101690,173810
27-2042,Musicians and Singers,detailed,35520,2.8,51.65,*,2.6,16.02,23.7,39.14,60.92,102.98,*,*,*,*,*
27-2090,"Miscellaneous Entertainers and Performers, Sports and Related Workers",broad,21910,8.6,30.47,*,8.5,11.75,15.5,20.38,31.96,50.97,*,*,*,*,*
27-2091,"Disc Jockeys, Except Radio",detailed,7190,10.6,31.39,*,10.4,11.08,15.5,20,33.04,57.66,*,*,*,*,*
27-2099,"Entertainers and Performers, Sports and Related Workers, All Other",detailed,14720,8.9,30.03,*,10.9,11.8,15.5,20.91,31.85,49.1,*,*,*,*,*
27-3000,Media and Communication Workers,minor,625940,0.6,39.13,81400,0.8,17.65,23.41,31.88,45.29,62.48,36720,48690,66320,94200,129960
27-3010,Broadcast Announcers and Radio Disc Jockeys,broad,25070,2.3,41.81,86950,2.3,11.73,14.86,21.58,31.76,61.33,24400,30920,44890,66070,127560
27-3011,Broadcast Announcers and Radio Disc Jockeys,detailed,25070,2.3,41.81,86950,2.3,11.73,14.86,21.58,31.76,61.33,24400,30920,44890,66070,127560
27-3020,"News Analysts, Reporters and Journalists",broad,45020,2.2,48.76,101430,1.8,15.17,18.34,27.64,44.18,77.1,31550,38160,57500,91890,160360
27-3023,"News Analysts, Reporters, and Journalists",detailed,45020,2.2,48.76,101430,1.8,15.17,18.34,27.64,44.18,77.1,31550,38160,57500,91890,160360
27-3030,Public Relations Specialists,broad,275550,1.5,37.37,77720,0.9,18.55,24.17,32.09,44.37,60.68,38570,50280,66750,92290,126220
27-3031,Public Relations Specialists,detailed,275550,1.5,37.37,77720,0.9,18.55,24.17,32.09,44.37,60.68,38570,50280,66750,92290,126220
27-3040,Writers and Editors,broad,193130,2.4,41.4,86120,1.4,19.67,26.76,36.55,48.78,65.81,40920,55660,76020,101470,136870
27-3041,Editors,detailed,95700,1.8,40.92,85110,1.6,18.65,24.91,36.07,48.61,66.79,38790,51810,75020,101100,138920
27-3042,Technical Writers,detailed,47970,2.5,41.64,86620,1.3,23.38,29.84,38.49,49.17,62.23,48630,62060,80050,102260,129440
27-3043,Writers and Authors,detailed,49450,8.2,42.11,87590,1.8,19.67,25.32,35.43,48.55,71.27,40900,52660,73690,100990,148240
27-3090,Miscellaneous Media and Communication Workers,broad,87180,3.3,33.95,70620,1.0,17.07,22.05,29.06,38.28,52.19,35500,45870,60440,79630,108550
27-3091,Interpreters and Translators,detailed,51560,2.7,30.33,63080,1.5,17.03,21.54,27.45,37,46.68,35410,44810,57090,76960,97100
27-3092,Court Reporters and Simultaneous Captioners,detailed,12390,3.7,34.15,71040,1.4,17.26,22.19,30.74,41.68,60.79,35890,46150,63940,86690,126440
27-3099,"Media and Communication Workers, All Other",detailed,23230,9.2,41.89,87140,2.6,17.73,24.03,29.76,41.01,65.39,36880,49980,61900,85310,136000
27-4000,Media and Communication Equipment Workers,minor,235240,1.2,31.67,65880,0.9,14.93,18.69,25.89,38.43,53.98,31050,38870,53850,79930,112280
27-4010,"Broadcast, Sound, and Lighting Technicians",broad,117010,2.8,31.26,65010,1.1,15.75,19.92,26.04,37.47,50.96,32760,41440,54160,77940,105990
27-4011,Audio and Video Technicians,detailed,66700,2.7,28.49,59260,1.0,16.25,19.93,24.83,33.64,45.98,33790,41440,51640,69980,95640
27-4012,Broadcast Technicians,detailed,26190,3.2,34.43,71600,2.0,13.5,17.68,27.74,46.5,60.29,28080,36770,57690,96710,125410
27-4014,Sound Engineering Technicians,detailed,14600,7.4,35.62,74100,3.0,17.38,22.03,28.57,45.46,63.91,36160,45820,59430,94550,132940
27-4015,Lighting Technicians,detailed,9520,9.7,35.22,73250,2.3,18.11,22.82,29.92,39.89,60.86,37680,47470,62240,82980,126590
27-4020,Photographers,broad,53630,1.8,25.67,53380,2.1,13.71,15.5,19.6,30.04,46.03,28510,32240,40760,62480,95740
27-4021,Photographers,detailed,53630,1.8,25.67,53380,2.1,13.71,15.5,19.6,30.04,46.03,28510,32240,40760,62480,95740
27-4030,"Television, Video, and Film Camera Operators and Editors",broad,53180,3.7,37.62,78260,1.2,17.71,22.61,31.28,47.65,64.18,36830,47030,65070,99110,133500
27-4031,"Camera Operators, Television, Video, and Film",detailed,23940,4.9,34.56,71890,1.8,16.55,21.15,29.71,45.13,58.05,34420,44000,61800,93870,120740
27-4032,Film and Video Editors,detailed,29240,3.7,40.13,83470,1.5,18.74,23.52,32.02,48.99,74.27,38990,48920,66600,101910,154480
27-4090,Miscellaneous Media and Communication Equipment Workers,broad,11430,3.9,36.47,75860,2.0,14.48,21.85,34.3,49.53,61.55,30110,45440,71340,103020,128020
27-4099,"Media and Communication Equipment Workers, All Other",detailed,11430,3.9,36.47,75860,2.0,14.48,21.85,34.3,49.53,61.55,30110,45440,71340,103020,128020
29-0000,Healthcare Practitioners and Technical Occupations,major,9284210,0.1,49.07,102060,0.3,19.88,28.7,38.86,53.48,80.44,41350,59700,80820,111240,167320
29-1000,Healthcare Diagnosing or Treating Practitioners,minor,6151910,0.2,60,124800,0.3,30.78,37.59,47.48,63.68,100.79,64010,78180,98760,132450,209650
29-1010,Chiropractors,broad,41480,6.9,43.15,89760,3.0,19.21,27.88,36.79,49,68.55,39960,57980,76530,101930,142580
29-1011,Chiropractors,detailed,41480,6.9,43.15,89760,3.0,19.21,27.88,36.79,49,68.55,39960,57980,76530,101930,142580
29-1020,Dentists,broad,138680,1.6,96.57,200870,1.5,39.79,60.01,82.17,112.99,#,82760,124830,170910,235020,#
29-1021,"Dentists, General",detailed,121640,1.9,92.19,191750,1.4,38.86,59.46,79.95,104.82,#,80820,123670,166300,218030,#
29-1022,Oral and Maxillofacial Surgeons,detailed,4160,7.0,160.73,334310,5.7,42.34,102.07,#,#,#,88060,212300,#,#,#
29-1023,Orthodontists,detailed,6400,16.1,117.13,243620,9.0,43.26,63.46,#,#,#,89980,132000,#,#,#
29-1024,Prosthodontists,detailed,570,33.4,115.75,240750,9.4,45,85,112.5,#,#,93600,176800,234000,#,#
29-1029,"Dentists, All Other Specialists",detailed,5920,10.9,117.53,244470,4.7,51.6,90.8,109.47,#,#,107330,188860,227690,#,#
29-1030,Dietitians and Nutritionists,broad,73860,1.9,34.27,71280,1.2,21.59,28.03,33.5,39.36,47.51,44910,58290,69680,81860,98830
29-1031,Dietitians and Nutritionists,detailed,73860,1.9,34.27,71280,1.2,21.59,28.03,33.5,39.36,47.51,44910,58290,69680,81860,98830
29-1040,Optometrists,broad,41390,1.7,68.75,143000,1.4,31.24,48.87,63.39,77.92,98.13,64980,101650,131860,162070,204100
29-1041,Optometrists,detailed,41390,1.7,68.75,143000,1.4,31.24,48.87,63.39,77.92,98.13,64980,101650,131860,162070,204100
29-1050,Pharmacists,broad,331700,0.6,64.81,134790,0.3,43.26,60.51,65.4,74.78,81.08,89980,125860,136030,155550,168650
29-1051,Pharmacists,detailed,331700,0.6,64.81,134790,0.3,43.26,60.51,65.4,74.78,81.08,89980,125860,136030,155550,168650
29-1070,Physician Assistants,broad,145740,1.7,62.74,130490,0.4,41.48,51.97,62.51,72.94,82.11,86280,108100,130020,151720,170790
29-1071,Physician Assistants,detailed,145740,1.7,62.74,130490,0.4,41.48,51.97,62.51,72.94,82.11,86280,108100,130020,151720,170790
29-1080,Podiatrists,broad,9470,5.7,78.14,162520,5.6,28.15,41.93,68.1,103.88,#,58550,87200,141650,216070,#
29-1081,Podiatrists,detailed,9470,5.7,78.14,162520,5.6,28.15,41.93,68.1,103.88,#,58550,87200,141650,216070,#
29-1120,Therapists,broad,744240,0.6,44.55,92670,0.3,28.73,35.88,43.46,51.17,61.48,59750,74620,90400,106440,127870
29-1122,Occupational Therapists,detailed,144840,1.1,46.54,96790,0.4,31.35,38.12,46.33,52.64,62.32,65210,79290,96370,109480,129620
29-1123,Physical Therapists,detailed,240820,1.3,48.29,100440,0.5,34.74,39.41,47.94,54.63,62.92,72260,81970,99710,113630,130870
29-1124,Radiation Therapists,detailed,16640,4.3,50.2,104420,0.4,34.75,39.57,47.26,53.87,65.82,72280,82300,98300,112040,136910
29-1125,Recreational Therapists,detailed,15540,1.3,29.28,60910,0.4,18.25,22.32,27.46,35.17,44.27,37960,46420,57120,73150,92080
29-1126,Respiratory Therapists,detailed,129750,0.5,38.62,80340,0.3,28.45,31.5,37.48,42.7,50.23,59180,65530,77960,88820,104480
